<X> <Y>
1.588870000000000e-01 9.666489386488806e-04
1.595110000000000e-01 9.538997887509605e-04
1.601350000000000e-01 9.424651904343232e-04
1.607590000000000e-01 9.322561808792890e-04
1.613830000000000e-01 9.231847845486715e-04
1.620080000000000e-01 9.151522253982689e-04
1.626320000000000e-01 9.080988805121158e-04
1.632560000000000e-01 9.019276052800686e-04
1.638800000000000e-01 8.965568793564331e-04
1.645040000000000e-01 8.919073324026310e-04
1.651280000000000e-01 8.879019232402990e-04
1.657520000000000e-01 8.844661014713139e-04
1.663760000000000e-01 8.815279517894381e-04
1.670000000000000e-01 8.790183212639452e-04
1.676240000000000e-01 8.768709299275846e-04
1.682480000000000e-01 8.750224650496146e-04
1.688720000000000e-01 8.734126595192558e-04
1.694960000000000e-01 8.719843548058868e-04
1.701200000000000e-01 8.706835489995743e-04
1.707440000000000e-01 8.694594304691223e-04
1.713680000000000e-01 8.682643977048368e-04
1.719920000000000e-01 8.670540659396009e-04
1.726170000000000e-01 8.657851649430017e-04
1.732410000000000e-01 8.644237258024505e-04
1.738650000000000e-01 8.629329615012804e-04
1.744890000000000e-01 8.612811829507778e-04
1.751130000000000e-01 8.594397746859737e-04
1.757370000000000e-01 8.573831356541757e-04
1.763610000000000e-01 8.550886113927562e-04
1.769850000000000e-01 8.525364182817430e-04
1.776090000000000e-01 8.497095605548512e-04
1.782330000000000e-01 8.465937407481063e-04
1.788570000000000e-01 8.431772642582519e-04
1.794810000000000e-01 8.394509386739061e-04
1.801050000000000e-01 8.354079685310158e-04
1.807290000000000e-01 8.310438461307065e-04
1.813530000000000e-01 8.263562390423475e-04
1.819770000000000e-01 8.213448748975766e-04
1.826020000000000e-01 8.160026200065821e-04
1.832260000000000e-01 8.103500698666935e-04
1.838500000000000e-01 8.043841350650824e-04
1.844740000000000e-01 7.981115998022937e-04
1.850980000000000e-01 7.915407113040794e-04
1.857220000000000e-01 7.846810599474102e-04
1.863460000000000e-01 7.775434603263225e-04
1.869700000000000e-01 7.701398336820020e-04
1.875940000000000e-01 7.624830920953019e-04
1.882180000000000e-01 7.545870248133891e-04
1.888420000000000e-01 7.464661870554324e-04
1.894660000000000e-01 7.381357916154329e-04
1.900900000000000e-01 7.296116035534322e-04
1.907140000000000e-01 7.209098382396326e-04
1.913380000000000e-01 7.120470629894584e-04
1.919620000000000e-01 7.030401025014053e-04
1.925860000000000e-01 6.939059482837606e-04
1.932110000000000e-01 6.846467784531744e-04
1.938350000000000e-01 6.753093152541977e-04
1.944590000000000e-01 6.658958181390304e-04
1.950830000000000e-01 6.564231247124322e-04
1.957070000000000e-01 6.469078510266260e-04
1.963310000000000e-01 6.373663274847975e-04
1.969550000000000e-01 6.278145393651799e-04
1.975790000000000e-01 6.182680719692756e-04
1.982030000000000e-01 6.087420603788260e-04
1.988270000000000e-01 5.992511437881426e-04
1.994510000000000e-01 5.898094243614826e-04
2.000750000000000e-01 5.804304305492156e-04
2.006990000000000e-01 5.711270847816856e-04
2.013230000000000e-01 5.619116754458851e-04
2.019470000000000e-01 5.527958330373237e-04
2.025710000000000e-01 5.437905103678659e-04
2.031950000000000e-01 5.349059666997054e-04
2.038200000000000e-01 5.261378359116497e-04
2.044440000000000e-01 5.175230268190911e-04
2.050680000000000e-01 5.090555228996703e-04
2.056920000000000e-01 5.007427228783350e-04
2.063160000000000e-01 4.925913063465251e-04
2.069400000000000e-01 4.846072382716149e-04
2.075640000000000e-01 4.767957763147950e-04
2.081880000000000e-01 4.691614807797877e-04
2.088120000000000e-01 4.617082270130654e-04
2.094360000000000e-01 4.544392200753308e-04
2.100600000000000e-01 4.473570115039320e-04
2.106840000000000e-01 4.404635179865329e-04
2.113080000000000e-01 4.337600417677434e-04
2.119320000000000e-01 4.272472926124696e-04
2.125560000000000e-01 4.209254111524261e-04
2.131800000000000e-01 4.147939934455362e-04
2.138050000000000e-01 4.088427457680281e-04
2.144290000000000e-01 4.030892944539066e-04
2.150530000000000e-01 3.975220845741693e-04
2.156770000000000e-01 3.921387973331641e-04
2.163010000000000e-01 3.869367047323647e-04
2.169250000000000e-01 3.819126980786583e-04
2.175490000000000e-01 3.770633166456145e-04
2.181730000000000e-01 3.723847763597079e-04
2.187970000000000e-01 3.678729983901354e-04
2.194210000000000e-01 3.635236375276592e-04
2.200450000000000e-01 3.593321102448458e-04
2.206690000000000e-01 3.552936223371080e-04
2.212930000000000e-01 3.514031960510329e-04
2.219170000000000e-01 3.476556966135864e-04
2.225410000000000e-01 3.440458580828930e-04
2.231650000000000e-01 3.405683084483349e-04
2.237890000000000e-01 3.372175939147212e-04
2.244140000000000e-01 3.339831214069945e-04
