<X> <Y>
1.526470000000000e-01 1.340495074884231e-03
1.532710000000000e-01 1.303465554453193e-03
1.538950000000000e-01 1.268236784606114e-03
1.545190000000000e-01 1.234754379570123e-03
1.551430000000000e-01 1.202962304827777e-03
1.557670000000000e-01 1.172803197803376e-03
1.563910000000000e-01 1.144218674434155e-03
1.570150000000000e-01 1.117149621035817e-03
1.576390000000000e-01 1.091536470970505e-03
1.582630000000000e-01 1.067319465721468e-03
1.588870000000000e-01 1.044438900071644e-03
1.595110000000000e-01 1.022835351173283e-03
1.601350000000000e-01 1.002449891382073e-03
1.607590000000000e-01 9.832242848119561e-04
1.613830000000000e-01 9.651011676456313e-04
1.620080000000000e-01 9.479976553121286e-04
1.626320000000000e-01 9.319132633068348e-04
1.632560000000000e-01 9.167659787662050e-04
1.638800000000000e-01 9.025034120508037e-04
1.645040000000000e-01 8.890747098584274e-04
1.651280000000000e-01 8.764306426752287e-04
1.657520000000000e-01 8.645236780840951e-04
1.663760000000000e-01 8.533080404425663e-04
1.670000000000000e-01 8.427397574819934e-04
1.676240000000000e-01 8.327766944145877e-04
1.682480000000000e-01 8.233785761654403e-04
1.688720000000000e-01 8.145069983726148e-04
1.694960000000000e-01 8.061254278200886e-04
1.701200000000000e-01 7.981991929857475e-04
1.707440000000000e-01 7.906954653998909e-04
1.713680000000000e-01 7.835832325189585e-04
1.719920000000000e-01 7.768332628245091e-04
1.726170000000000e-01 7.704080377292747e-04
1.732410000000000e-01 7.643022830979227e-04
1.738650000000000e-01 7.584812951005211e-04
1.744890000000000e-01 7.529224891336211e-04
1.751130000000000e-01 7.476047951535773e-04
1.757370000000000e-01 7.425085908786845e-04
1.763610000000000e-01 7.376156320425107e-04
1.769850000000000e-01 7.329089803300114e-04
1.776090000000000e-01 7.283729296058314e-04
1.782330000000000e-01 7.239929310198693e-04
1.788570000000000e-01 7.197555175490008e-04
1.794810000000000e-01 7.156482285059700e-04
1.801050000000000e-01 7.116595345171043e-04
1.807290000000000e-01 7.077787634398841e-04
1.813530000000000e-01 7.039960276596903e-04
1.819770000000000e-01 7.003021531725141e-04
1.826020000000000e-01 6.966828800363053e-04
1.832260000000000e-01 6.931418291752974e-04
1.838500000000000e-01 6.896657129484359e-04
1.844740000000000e-01 6.862475513867378e-04
1.850980000000000e-01 6.828807621355609e-04
1.857220000000000e-01 6.795591069172840e-04
1.863460000000000e-01 6.762766416833941e-04
1.869700000000000e-01 6.730276705936825e-04
1.875940000000000e-01 6.698067039281210e-04
1.882180000000000e-01 6.666084200057253e-04
1.888420000000000e-01 6.634276311544171e-04
1.894660000000000e-01 6.602592537466617e-04
1.900900000000000e-01 6.570982822876593e-04
1.907140000000000e-01 6.539397675161409e-04
1.913380000000000e-01 6.507787984524761e-04
1.919620000000000e-01 6.476104883049589e-04
1.925860000000000e-01 6.444299641227711e-04
1.932110000000000e-01 6.412272193863059e-04
1.938350000000000e-01 6.380076343826661e-04
1.944590000000000e-01 6.347612415775424e-04
1.950830000000000e-01 6.314831898456232e-04
1.957070000000000e-01 6.281686411192419e-04
1.963310000000000e-01 6.248127791403353e-04
1.969550000000000e-01 6.214108206920789e-04
1.975790000000000e-01 6.179580290804137e-04
1.982030000000000e-01 6.144497296286925e-04
1.988270000000000e-01 6.108813269433641e-04
1.994510000000000e-01 6.072483237050034e-04
2.000750000000000e-01 6.035463407369908e-04
2.006990000000000e-01 5.997711381037364e-04
2.013230000000000e-01 5.959186369914670e-04
2.019470000000000e-01 5.919849421271955e-04
2.025710000000000e-01 5.879663644954826e-04
2.031950000000000e-01 5.838594441179693e-04
2.038200000000000e-01 5.796541692621455e-04
2.044440000000000e-01 5.753610586705628e-04
2.050680000000000e-01 5.709708196355556e-04
2.056920000000000e-01 5.664811300775200e-04
2.063160000000000e-01 5.618900041248102e-04
2.069400000000000e-01 5.571958107808969e-04
2.075640000000000e-01 5.523972912545757e-04
2.081880000000000e-01 5.474935747995986e-04
2.088120000000000e-01 5.424841929237986e-04
2.094360000000000e-01 5.373690918419278e-04
2.100600000000000e-01 5.321486430609814e-04
2.106840000000000e-01 5.268236520016056e-04
2.113080000000000e-01 5.213953645742241e-04
2.119320000000000e-01 5.158654716436439e-04
2.125560000000000e-01 5.102361113310847e-04
2.131800000000000e-01 5.045098691176455e-04
2.138050000000000e-01 4.986803751341895e-04
2.144290000000000e-01 4.927697603762612e-04
2.150530000000000e-01 4.867726786415943e-04
2.156770000000000e-01 4.806934621597470e-04
2.163010000000000e-01 4.745368578130463e-04
2.169250000000000e-01 4.683080141075186e-04
2.175490000000000e-01 4.620124660946195e-04
2.181730000000000e-01 4.556561183171677e-04
2.187970000000000e-01 4.492452258641800e-04
2.194210000000000e-01 4.427863736298296e-04
2.200450000000000e-01 4.362864538815515e-04
2.206690000000000e-01 4.297526422513135e-04
2.212930000000000e-01 4.231923722722575e-04
2.219170000000000e-01 4.166133085902373e-04
2.225410000000000e-01 4.100233189862605e-04
2.231650000000000e-01 4.034304453514095e-04
2.237890000000000e-01 3.968428737605197e-04
2.244140000000000e-01 3.902583839823798e-04
2.250380000000000e-01 3.837064394413416e-04
2.256620000000000e-01 3.771849241968993e-04
2.262860000000000e-01 3.707022890814754e-04
2.269100000000000e-01 3.642669712442945e-04
2.275340000000000e-01 3.578873620393096e-04
2.281580000000000e-01 3.515717750924280e-04
2.287820000000000e-01 3.453284147000172e-04
2.294060000000000e-01 3.391653447076169e-04
2.300300000000000e-01 3.330904580140034e-04
2.306540000000000e-01 3.271114468412375e-04
2.312780000000000e-01 3.212357739061449e-04
2.319020000000000e-01 3.154706446228705e-04
2.325260000000000e-01 3.098229804597212e-04
2.331500000000000e-01 3.042993935665783e-04
2.337740000000000e-01 2.989061627816827e-04
2.343980000000000e-01 2.936492111187071e-04
2.350230000000000e-01 2.885260041453538e-04
2.356470000000000e-01 2.835580928774164e-04
2.362710000000000e-01 2.787419010336675e-04
2.368950000000000e-01 2.740817351631555e-04
2.375190000000000e-01 2.695814585410816e-04
2.381430000000000e-01 2.652444791727010e-04
2.387670000000000e-01 2.610737397352077e-04
2.393910000000000e-01 2.570717094850941e-04
2.400150000000000e-01 2.532403781487922e-04
2.406390000000000e-01 2.495812518047964e-04
